match_id,inning,batting_team,bowling_team,over,ball,batter,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,wicket_type,player_dismissed,ball_speed
1,1,PBKS,CSK,0,1,Shikhar Dhawan,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,0,2,Shikhar Dhawan,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,0,3,Shikhar Dhawan,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,0,4,Jonny Bairstow,Shikhar Dhawan,Sam Curran,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,0,5,Jonny Bairstow,Shikhar Dhawan,Sam Curran,4,1,1,0,0,0,,,0.0
1,1,PBKS,CSK,0,6,Jonny Bairstow,Shikhar Dhawan,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,1,Jonny Bairstow,Shikhar Dhawan,Arshdeep Singh,2,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,2,Jonny Bairstow,Shikhar Dhawan,Arshdeep Singh,2,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,3,Shikhar Dhawan,Jonny Bairstow,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,4,Shikhar Dhawan,Jonny Bairstow,Arshdeep Singh,2,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,5,Shikhar Dhawan,Jonny Bairstow,Arshdeep Singh,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,1,6,Shikhar Dhawan,Jonny Bairstow,Arshdeep Singh,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,2,1,Shikhar Dhawan,Jonny Bairstow,Sam Curran,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,2,2,Shikhar Dhawan,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,2,3,Liam Livingstone,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,caught,Shikhar Dhawan,0.0
1,1,PBKS,CSK,2,4,Jonny Bairstow,Liam Livingstone,Sam Curran,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,2,5,Liam Livingstone,Jonny Bairstow,Sam Curran,1,1,1,0,0,0,,,0.0
1,1,PBKS,CSK,2,6,Liam Livingstone,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,1,Liam Livingstone,Jonny Bairstow,Arshdeep Singh,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,2,Jonny Bairstow,Liam Livingstone,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,3,Liam Livingstone,Jonny Bairstow,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,4,Liam Livingstone,Jonny Bairstow,Arshdeep Singh,6,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,5,Liam Livingstone,Jonny Bairstow,Arshdeep Singh,2,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,3,6,Liam Livingstone,Jonny Bairstow,Arshdeep Singh,6,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,4,1,Liam Livingstone,Jonny Bairstow,Sam Curran,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,4,2,Jonny Bairstow,Liam Livingstone,Sam Curran,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,4,3,Liam Livingstone,Jonny Bairstow,Sam Curran,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,4,4,Liam Livingstone,Jonny Bairstow,Sam Curran,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,4,5,Sam Curran,Jonny Bairstow,Sam Curran,0,0,0,0,0,0,bowled,Liam Livingstone,0.0
1,1,PBKS,CSK,4,6,Sam Curran,Jonny Bairstow,Sam Curran,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,1,Jonny Bairstow,Sam Curran,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,2,Sam Curran,Jonny Bairstow,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,3,Sam Curran,Jonny Bairstow,Arshdeep Singh,4,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,4,Jonny Bairstow,Sam Curran,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,5,Sam Curran,Jonny Bairstow,Arshdeep Singh,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,5,6,Sam Curran,Jonny Bairstow,Arshdeep Singh,2,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,6,1,Arshdeep Singh,Jonny Bairstow,Op Bowler 1,0,0,0,0,0,0,caught,Sam Curran,0.0
1,1,PBKS,CSK,6,2,Arshdeep Singh,Jonny Bairstow,Op Bowler 1,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,6,3,Jonny Bairstow,Arshdeep Singh,Op Bowler 1,1,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,6,4,Jonny Bairstow,Arshdeep Singh,Op Bowler 1,2,1,1,0,0,0,,,0.0
1,1,PBKS,CSK,6,5,Jonny Bairstow,Arshdeep Singh,Op Bowler 1,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,6,6,Jonny Bairstow,Arshdeep Singh,Op Bowler 1,0,0,0,0,0,0,,,0.0
1,1,PBKS,CSK,7,1,Tail 1,Arshdeep Singh,Ravindra Jadeja,0,0,0,0,0,0,lbw,Jonny Bairstow,0.0
1,1,PBKS,CSK,7,2,Tail 1,Arshdeep Singh,Ravindra Jadeja,0,0,0,0,0,0,,,0.0
